TMC,County,District
110N05012,ROANOKE,Salem
110N05017,ROANOKE (CITY),Salem
110N05018,ROANOKE (CITY),Salem
110N05019,ROANOKE (CITY),Salem
110N05020,ROANOKE (CITY),Salem
110N05021,ROANOKE (CITY),Salem
110N05022,ROANOKE (CITY),Salem
110N05353,AUGUSTA,Staunton
110N05354,AUGUSTA,Staunton
110N05355,AUGUSTA,Staunton
110N05356,AUGUSTA,Staunton
110N05357,AUGUSTA,Staunton
110N05358,ROCKINGHAM,Staunton
110N05359,HARRISONBURG (CITY),Staunton
110N05360,HARRISONBURG (CITY),Staunton
110N05361,HARRISONBURG (CITY),Staunton
110N05362,ROCKINGHAM,Staunton
110N05363,ROCKINGHAM,Staunton
110N05364,SHENANDOAH,Staunton
110N05365,SHENANDOAH,Staunton
110N05366,SHENANDOAH,Staunton
110N05367,SHENANDOAH,Staunton
110N05368,SHENANDOAH,Staunton
110N05369,SHENANDOAH,Staunton
110N05370,SHENANDOAH,Staunton
110N05371,SHENANDOAH,Staunton
110N05372,SHENANDOAH,Staunton
110N05373,FREDERICK,Staunton
110N05374,FREDERICK,Staunton
110N05375,FREDERICK,Staunton
110N05376,FREDERICK,Staunton
110N05377,FREDERICK,Staunton
110N05379,HANOVER,Richmond
110N05380,HANOVER,Richmond
110N05381,HANOVER,Richmond
110N05382,CAROLINE,Fredericksburg
110N05383,CAROLINE,Fredericksburg
110N05390,SPOTSYLVANIA,Fredericksburg
110N05391,WYTHE,Bristol
110N05392,WYTHE,Bristol
110N05393,WYTHE,Bristol
110N05394,PULASKI,Salem
110N05395,PULASKI,Salem
110N05396,PULASKI,Salem
110N05397,PULASKI,Salem
110N05398,PULASKI,Salem
110N05399,MONTGOMERY,Salem
110N05400,MONTGOMERY,Salem
110N05401,MONTGOMERY,Salem
110N05402,MONTGOMERY,Salem
110N05403,MONTGOMERY,Salem
110N05404,MONTGOMERY,Salem
110N05405,BOTETOURT,Salem
110N05406,BOTETOURT,Salem
110N05407,BOTETOURT,Salem
110N05408,BOTETOURT,Salem
110N05409,BOTETOURT,Salem
110N05410,ROCKBRIDGE,Staunton
110N05412,ROCKBRIDGE,Staunton
110N05415,GREENSVILLE,Hampton Roads
110N05416,GREENSVILLE,Hampton Roads
110N05417,EMPORIA (CITY),Hampton Roads
110N05419,GREENSVILLE,Hampton Roads
110N05420,SUSSEX,Hampton Roads
110N05421,SUSSEX,Hampton Roads
110N05422,SUSSEX,Hampton Roads
110N05423,SUSSEX,Hampton Roads
110N05424,SUSSEX,Hampton Roads
110N05427,MECKLENBURG,Richmond
110N05428,MECKLENBURG,Richmond
110N05429,MECKLENBURG,Richmond
110N05430,MECKLENBURG,Richmond
110N05431,BRUNSWICK,Richmond
110N05432,BRUNSWICK,Richmond
110N05433,BRUNSWICK,Richmond
110N05434,BRUNSWICK,Richmond
110N05435,BRUNSWICK,Richmond
110N05436,DINWIDDIE,Richmond
110N05437,DINWIDDIE,Richmond
110N05438,DINWIDDIE,Richmond
110N05439,DINWIDDIE,Richmond
110N05440,DINWIDDIE,Richmond
110N05443,GOOCHLAND,Richmond
110N05444,GOOCHLAND,Richmond
110N05445,LOUISA,Culpeper
110N05446,GOOCHLAND,Richmond
110N05447,GOOCHLAND,Richmond
110N05448,LOUISA,Culpeper
110N05449,LOUISA,Culpeper
110N05450,ALBEMARLE,Culpeper
110N05451,ALBEMARLE,Culpeper
110N05452,ALBEMARLE,Culpeper
110N05453,ALBEMARLE,Culpeper
110N05454,ALBEMARLE,Culpeper
110N05455,ALBEMARLE,Culpeper
110N05456,ALBEMARLE,Culpeper
110N05457,AUGUSTA,Staunton
110N05458,WAYNESBORO (CITY),Staunton
110N05459,WAYNESBORO (CITY),Staunton
110N05460,AUGUSTA,Staunton
110N05461,AUGUSTA,Staunton
110N05463,BRISTOL (CITY),Bristol
110N05464,BRISTOL (CITY),Bristol
110N05465,BRISTOL (CITY),Bristol
110N05466,BRISTOL (CITY),Bristol
110N05467,WASHINGTON,Bristol
110N05468,WASHINGTON,Bristol
110N05469,WASHINGTON,Bristol
110N05470,WASHINGTON,Bristol
110N05471,WASHINGTON,Bristol
110N05472,WASHINGTON,Bristol
110N05473,WASHINGTON,Bristol
110N05474,WASHINGTON,Bristol
110N05475,WASHINGTON,Bristol
110N05476,WASHINGTON,Bristol
110N05477,SMYTH,Bristol
110N05478,SMYTH,Bristol
110N05479,SMYTH,Bristol
110N05480,SMYTH,Bristol
110N05481,SMYTH,Bristol
110N05482,SMYTH,Bristol
110N05483,SMYTH,Bristol
110N05484,SMYTH,Bristol
110N05485,WYTHE,Bristol
110N05486,WYTHE,Bristol
110N05487,WYTHE,Bristol
110N05488,WYTHE,Bristol
110N05490,WYTHE,Bristol
110N05491,WYTHE,Bristol
110N05492,WYTHE,Bristol
110N05495,ROCKBRIDGE,Staunton
110N05496,ROCKBRIDGE,Staunton
110N05497,ROCKBRIDGE,Staunton
110N05498,AUGUSTA,Staunton
110N05499,AUGUSTA,Staunton
110N05500,AUGUSTA,Staunton
110N05503,WARREN,Staunton
110N05504,WARREN,Staunton
110N05507,WYTHE,Bristol
110N05508,BLAND,Bristol
110N05509,BLAND,Bristol
110N05510,BLAND,Bristol
110N05511,BLAND,Bristol
110N05512,BLAND,Bristol
110N05513,BLAND,Bristol
110N05514,BLAND,Bristol
110N05517,CARROLL,Salem
110N05518,CARROLL,Salem
110N05519,CARROLL,Salem
110N05520,CARROLL,Salem
110N05521,WYTHE,Bristol
110N05522,WYTHE,Bristol
110N05529,ALLEGHANY,Staunton
110N05530,ALLEGHANY,Staunton
110N05531,ALLEGHANY,Staunton
110N05532,COVINGTON (CITY),Staunton
110N05533,ALLEGHANY,Staunton
110N05534,ALLEGHANY,Staunton
110N05535,ALLEGHANY,Staunton
110N05536,ALLEGHANY,Staunton
110N05537,ALLEGHANY,Staunton
110N05538,ALLEGHANY,Staunton
110N05539,ROCKBRIDGE,Staunton
110N05540,ROCKBRIDGE,Staunton
110N05541,ROCKBRIDGE,Staunton
110N10918,HANOVER,Richmond
110N10919,HANOVER,Richmond
110N10920,HANOVER,Richmond
110N10921,HANOVER,Richmond
110N15859,HENRICO,Richmond
110N16029,HOPEWELL (CITY),Richmond
110N16072,NORFOLK (CITY),Hampton Roads
110P04121,FAIRFAX,Northern Virginia
110P04122,ALEXANDRIA (CITY),Northern Virginia
110P04123,ALEXANDRIA (CITY),Northern Virginia
110P04124,ARLINGTON,Northern Virginia
110P04125,ARLINGTON,Northern Virginia
110P04126,ARLINGTON,Northern Virginia
110P04127,ARLINGTON,Northern Virginia
110P04128,ARLINGTON,Northern Virginia
110P04129,ARLINGTON,Northern Virginia
110P04130,ARLINGTON,Northern Virginia
110P04143,STAFFORD,Fredericksburg
110P04144,STAFFORD,Fredericksburg
110P04145,STAFFORD,Fredericksburg
110P04146,PRINCE WILLIAM,Northern Virginia
110P04147,PRINCE WILLIAM,Northern Virginia
110P04148,PRINCE WILLIAM,Northern Virginia
110P04149,PRINCE WILLIAM,Northern Virginia
110P04150,PRINCE WILLIAM,Northern Virginia
110P04151,PRINCE WILLIAM,Northern Virginia
110P04152,PRINCE WILLIAM,Northern Virginia
110P04153,FAIRFAX,Northern Virginia
110P04154,FAIRFAX,Northern Virginia
110P04155,FAIRFAX,Northern Virginia
110P04156,FAIRFAX,Northern Virginia
110P04157,FAIRFAX,Northern Virginia
110P04163,ARLINGTON,Northern Virginia
110P04164,ARLINGTON,Northern Virginia
110P04165,ARLINGTON,Northern Virginia
110P04166,ARLINGTON,Northern Virginia
110P04167,ARLINGTON,Northern Virginia
110P04168,ARLINGTON,Northern Virginia
110P04169,ARLINGTON,Northern Virginia
110P04170,ARLINGTON,Northern Virginia
110P04171,ARLINGTON,Northern Virginia
110P04172,ARLINGTON,Northern Virginia
110P04173,FAIRFAX,Northern Virginia
110P04174,FAIRFAX,Northern Virginia
110P04175,FAIRFAX,Northern Virginia
110P04176,FAIRFAX,Northern Virginia
110P04177,FAIRFAX,Northern Virginia
110P04178,FAIRFAX,Northern Virginia
110P04179,FAIRFAX,Northern Virginia
110P04180,FAIRFAX,Northern Virginia
110P04181,FAIRFAX,Northern Virginia
110P04182,FAIRFAX,Northern Virginia
110P04183,FAIRFAX,Northern Virginia
110P04184,PRINCE WILLIAM,Northern Virginia
110P04185,PRINCE WILLIAM,Northern Virginia
110P04186,PRINCE WILLIAM,Northern Virginia
110P04187,PRINCE WILLIAM,Northern Virginia
110P04188,FAUQUIER,Culpeper
110P04189,FAUQUIER,Culpeper
110P04190,FAUQUIER,Culpeper
110P04191,FAUQUIER,Culpeper
110P04192,FAUQUIER,Culpeper
110P04193,FAUQUIER,Culpeper
110P04603,FAIRFAX,Northern Virginia
110P04604,FAIRFAX,Northern Virginia
110P04605,FAIRFAX,Northern Virginia
110P04606,FAIRFAX,Northern Virginia
110P04607,FAIRFAX,Northern Virginia
110P04608,FAIRFAX,Northern Virginia
110P04609,FAIRFAX,Northern Virginia
110P04610,FAIRFAX,Northern Virginia
110P04611,FAIRFAX,Northern Virginia
110P04612,FAIRFAX,Northern Virginia
110P04613,FAIRFAX,Northern Virginia
110P04645,ALEXANDRIA (CITY),Northern Virginia
110P04646,FAIRFAX,Northern Virginia
110P04647,FAIRFAX,Northern Virginia
110P04648,FAIRFAX,Northern Virginia
110P04670,ARLINGTON,Northern Virginia
110P04681,FREDERICK,Staunton
110P04682,FREDERICK,Staunton
110P04683,FREDERICK,Staunton
110P04684,FREDERICK,Staunton
110P04686,PORTSMOUTH (CITY),Hampton Roads
110P04687,PORTSMOUTH (CITY),Hampton Roads
110P04688,PORTSMOUTH (CITY),Hampton Roads
110P04689,PORTSMOUTH (CITY),Hampton Roads
110P04691,PORTSMOUTH (CITY),Hampton Roads
110P04692,PORTSMOUTH (CITY),Hampton Roads
110P04693,PORTSMOUTH (CITY),Hampton Roads
110P04694,NORFOLK (CITY),Hampton Roads
110P04696,NORFOLK (CITY),Hampton Roads
110P04697,NORFOLK (CITY),Hampton Roads
110P04698,NORFOLK (CITY),Hampton Roads
110P04699,NORFOLK (CITY),Hampton Roads
110P04700,NORFOLK (CITY),Hampton Roads
110P04701,NORFOLK (CITY),Hampton Roads
110P04702,NORFOLK (CITY),Hampton Roads
110P04703,VIRGINIA BEACH (CITY),Hampton Roads
110P04704,VIRGINIA BEACH (CITY),Hampton Roads
110P04705,VIRGINIA BEACH (CITY),Hampton Roads
110P04706,VIRGINIA BEACH (CITY),Hampton Roads
110P04707,VIRGINIA BEACH (CITY),Hampton Roads
110P04708,VIRGINIA BEACH (CITY),Hampton Roads
110P04709,VIRGINIA BEACH (CITY),Hampton Roads
110P04710,VIRGINIA BEACH (CITY),Hampton Roads
110P04728,CHESAPEAKE (CITY),Hampton Roads
110P04729,CHESAPEAKE (CITY),Hampton Roads
110P04730,CHESAPEAKE (CITY),Hampton Roads
110P04731,CHESAPEAKE (CITY),Hampton Roads
110P04732,CHESAPEAKE (CITY),Hampton Roads
110P04733,SUFFOLK (CITY),Hampton Roads
110P04734,SUFFOLK (CITY),Hampton Roads
110P04735,SUFFOLK (CITY),Hampton Roads
110P04736,NEWPORT NEWS (CITY),Hampton Roads
110P04738,NEWPORT NEWS (CITY),Hampton Roads
110P04739,NEWPORT NEWS (CITY),Hampton Roads
110P04740,NEWPORT NEWS (CITY),Hampton Roads
110P04741,NEWPORT NEWS (CITY),Hampton Roads
110P04742,HAMPTON (CITY),Hampton Roads
110P04743,HAMPTON (CITY),Hampton Roads
110P04770,PRINCE GEORGE,Richmond
110P04771,HOPEWELL (CITY),Richmond
110P04772,CHESTERFIELD,Richmond
110P04773,HENRICO,Richmond
110P04774,HENRICO,Richmond
110P04775,HENRICO,Richmond
110P04776,HENRICO,Richmond
110P04784,RICHMOND (CITY),Richmond
110P04785,HENRICO,Richmond
110P04786,HENRICO,Richmond
110P04787,HENRICO,Richmond
110P04788,HENRICO,Richmond
110P04789,HENRICO,Richmond
110P04790,HANOVER,Richmond
110P04791,RICHMOND (CITY),Richmond
110P04792,RICHMOND (CITY),Richmond
110P04793,RICHMOND (CITY),Richmond
110P04794,RICHMOND (CITY),Richmond
110P04795,RICHMOND (CITY),Richmond
110P04798,PRINCE GEORGE,Richmond
110P04799,PRINCE GEORGE,Richmond
110P04800,PRINCE GEORGE,Richmond
110P04801,PRINCE GEORGE,Richmond
110P04803,PETERSBURG (CITY),Richmond
110P04804,PETERSBURG (CITY),Richmond
110P04805,PETERSBURG (CITY),Richmond
110P04806,PETERSBURG (CITY),Richmond
110P04807,PETERSBURG (CITY),Richmond
110P04808,PETERSBURG (CITY),Richmond
110P04809,COLONIAL HEIGHTS (CITY),Richmond
110P04810,COLONIAL HEIGHTS (CITY),Richmond
110P04811,CHESTERFIELD,Richmond
110P04812,CHESTERFIELD,Richmond
110P04813,CHESTERFIELD,Richmond
110P04814,CHESTERFIELD,Richmond
110P04815,CHESTERFIELD,Richmond
110P04816,RICHMOND (CITY),Richmond
110P04817,RICHMOND (CITY),Richmond
110P04818,RICHMOND (CITY),Richmond
110P04819,RICHMOND (CITY),Richmond
110P04820,RICHMOND (CITY),Richmond
110P04821,RICHMOND (CITY),Richmond
110P04823,NORFOLK (CITY),Hampton Roads
110P04824,NORFOLK (CITY),Hampton Roads
110P04827,PETERSBURG (CITY),Richmond
110P04828,PETERSBURG (CITY),Richmond
110P04847,RICHMOND (CITY),Richmond
110P04848,RICHMOND (CITY),Richmond
110P04849,RICHMOND (CITY),Richmond
110P04850,RICHMOND (CITY),Richmond
110P04851,RICHMOND (CITY),Richmond
110P04852,RICHMOND (CITY),Richmond
110P04855,CHESAPEAKE (CITY),Hampton Roads
110P04856,CHESAPEAKE (CITY),Hampton Roads
110P04857,CHESAPEAKE (CITY),Hampton Roads
110P04858,CHESAPEAKE (CITY),Hampton Roads
110P04859,CHESAPEAKE (CITY),Hampton Roads
110P04860,CHESAPEAKE (CITY),Hampton Roads
110P04861,VIRGINIA BEACH (CITY),Hampton Roads
110P04862,NORFOLK (CITY),Hampton Roads
110P04863,NORFOLK (CITY),Hampton Roads
110P04865,NORFOLK (CITY),Hampton Roads
110P04866,NORFOLK (CITY),Hampton Roads
110P04867,NORFOLK (CITY),Hampton Roads
110P04868,NORFOLK (CITY),Hampton Roads
110P04869,NORFOLK (CITY),Hampton Roads
110P04870,NORFOLK (CITY),Hampton Roads
110P04871,NORFOLK (CITY),Hampton Roads
110P04872,NORFOLK (CITY),Hampton Roads
110P04873,NORFOLK (CITY),Hampton Roads
110P04874,NORFOLK (CITY),Hampton Roads
110P04875,NORFOLK (CITY),Hampton Roads
110P04876,HAMPTON (CITY),Hampton Roads
110P04877,HAMPTON (CITY),Hampton Roads
110P04878,HAMPTON (CITY),Hampton Roads
110P04879,HAMPTON (CITY),Hampton Roads
110P04880,HAMPTON (CITY),Hampton Roads
110P04881,HAMPTON (CITY),Hampton Roads
110P04882,HAMPTON (CITY),Hampton Roads
110P04883,HAMPTON (CITY),Hampton Roads
110P04884,HAMPTON (CITY),Hampton Roads
110P04885,HAMPTON (CITY),Hampton Roads
110P04886,HAMPTON (CITY),Hampton Roads
110P04887,NEWPORT NEWS (CITY),Hampton Roads
110P04888,NEWPORT NEWS (CITY),Hampton Roads
110P04889,NEWPORT NEWS (CITY),Hampton Roads
110P04890,NEWPORT NEWS (CITY),Hampton Roads
110P04891,NEWPORT NEWS (CITY),Hampton Roads
110P04892,NEWPORT NEWS (CITY),Hampton Roads
110P04893,YORK,Hampton Roads
110P04894,YORK,Hampton Roads
110P04895,YORK,Hampton Roads
110P04896,YORK,Hampton Roads
110P04897,JAMES CITY,Hampton Roads
110P04898,JAMES CITY,Hampton Roads
110P04899,NEW KENT,Richmond
110P04900,NEW KENT,Richmond
110P04901,NEW KENT,Richmond
110P04902,NEW KENT,Richmond
110P04903,HENRICO,Richmond
110P04904,HENRICO,Richmond
110P04905,HENRICO,Richmond
110P04906,HENRICO,Richmond
110P04907,RICHMOND (CITY),Richmond
110P04908,RICHMOND (CITY),Richmond
110P04910,CHESAPEAKE (CITY),Hampton Roads
110P04911,CHESAPEAKE (CITY),Hampton Roads
110P04912,CHESAPEAKE (CITY),Hampton Roads
110P04913,CHESAPEAKE (CITY),Hampton Roads
110P04914,NORFOLK (CITY),Hampton Roads
110P04915,NORFOLK (CITY),Hampton Roads
110P04925,SPOTSYLVANIA,Fredericksburg
110P04926,FREDERICKSBURG (CITY),Fredericksburg
110P04944,HENRICO,Richmond
110P04945,HENRICO,Richmond
110P04946,HENRICO,Richmond
110P04947,HENRICO,Richmond
110P04948,HENRICO,Richmond
110P04949,HENRICO,Richmond
110P04950,HENRICO,Richmond
110P04951,HENRICO,Richmond
110P04954,HENRICO,Richmond
110P04955,HENRICO,Richmond
110P04956,HENRICO,Richmond
110P04957,HENRICO,Richmond
110P04958,HENRICO,Richmond
110P05007,ROANOKE,Salem
110P05008,ROANOKE,Salem
110P05009,ROANOKE,Salem
110P05010,ROANOKE,Salem
110P05011,ROANOKE,Salem
110P05012,ROANOKE,Salem
110P05017,ROANOKE (CITY),Salem
110P05018,ROANOKE (CITY),Salem
110P05019,ROANOKE (CITY),Salem
110P05020,ROANOKE (CITY),Salem
110P05021,ROANOKE (CITY),Salem
110P05022,ROANOKE,Salem
110P05353,AUGUSTA,Staunton
110P05354,AUGUSTA,Staunton
110P05355,AUGUSTA,Staunton
110P05356,AUGUSTA,Staunton
110P05357,AUGUSTA,Staunton
110P05358,ROCKINGHAM,Staunton
110P05359,HARRISONBURG (CITY),Staunton
110P05360,HARRISONBURG (CITY),Staunton
110P05361,HARRISONBURG (CITY),Staunton
110P05362,ROCKINGHAM,Staunton
110P05363,ROCKINGHAM,Staunton
110P05364,SHENANDOAH,Staunton
110P05365,SHENANDOAH,Staunton
110P05366,SHENANDOAH,Staunton
110P05367,SHENANDOAH,Staunton
110P05368,SHENANDOAH,Staunton
110P05369,SHENANDOAH,Staunton
110P05370,SHENANDOAH,Staunton
110P05371,SHENANDOAH,Staunton
110P05372,SHENANDOAH,Staunton
110P05373,FREDERICK,Staunton
110P05374,FREDERICK,Staunton
110P05375,FREDERICK,Staunton
110P05376,FREDERICK,Staunton
110P05377,FREDERICK,Staunton
110P05379,HANOVER,Richmond
110P05380,HANOVER,Richmond
110P05381,HANOVER,Richmond
110P05382,CAROLINE,Fredericksburg
110P05383,CAROLINE,Fredericksburg
110P05390,SPOTSYLVANIA,Fredericksburg
110P05391,WYTHE,Bristol
110P05392,WYTHE,Bristol
110P05393,WYTHE,Bristol
110P05394,PULASKI,Salem
110P05395,PULASKI,Salem
110P05396,PULASKI,Salem
110P05397,PULASKI,Salem
110P05398,PULASKI,Salem
110P05399,MONTGOMERY,Salem
110P05400,MONTGOMERY,Salem
110P05401,MONTGOMERY,Salem
110P05402,MONTGOMERY,Salem
110P05403,MONTGOMERY,Salem
110P05404,MONTGOMERY,Salem
110P05405,BOTETOURT,Salem
110P05406,BOTETOURT,Salem
110P05407,BOTETOURT,Salem
110P05408,BOTETOURT,Salem
110P05409,BOTETOURT,Salem
110P05410,ROCKBRIDGE,Staunton
110P05411,ROCKBRIDGE,Staunton
110P05412,ROCKBRIDGE,Staunton
110P05413,ROCKBRIDGE,Staunton
110P05415,GREENSVILLE,Hampton Roads
110P05416,GREENSVILLE,Hampton Roads
110P05417,EMPORIA (CITY),Hampton Roads
110P05419,GREENSVILLE,Hampton Roads
110P05420,SUSSEX,Hampton Roads
110P05421,SUSSEX,Hampton Roads
110P05422,SUSSEX,Hampton Roads
110P05423,SUSSEX,Hampton Roads
110P05424,SUSSEX,Hampton Roads
110P05427,MECKLENBURG,Richmond
110P05428,MECKLENBURG,Richmond
110P05429,MECKLENBURG,Richmond
110P05430,MECKLENBURG,Richmond
110P05431,BRUNSWICK,Richmond
110P05432,BRUNSWICK,Richmond
110P05433,BRUNSWICK,Richmond
110P05434,BRUNSWICK,Richmond
110P05435,BRUNSWICK,Richmond
110P05436,DINWIDDIE,Richmond
110P05437,DINWIDDIE,Richmond
110P05438,DINWIDDIE,Richmond
110P05439,DINWIDDIE,Richmond
110P05440,DINWIDDIE,Richmond
110P05443,GOOCHLAND,Richmond
110P05444,GOOCHLAND,Richmond
110P05445,LOUISA,Culpeper
110P05446,GOOCHLAND,Richmond
110P05447,GOOCHLAND,Richmond
110P05448,LOUISA,Culpeper
110P05449,LOUISA,Culpeper
110P05450,ALBEMARLE,Culpeper
110P05451,ALBEMARLE,Culpeper
110P05452,ALBEMARLE,Culpeper
110P05453,ALBEMARLE,Culpeper
110P05454,ALBEMARLE,Culpeper
110P05455,ALBEMARLE,Culpeper
110P05456,ALBEMARLE,Culpeper
110P05457,AUGUSTA,Staunton
110P05458,WAYNESBORO (CITY),Staunton
110P05459,WAYNESBORO (CITY),Staunton
110P05460,AUGUSTA,Staunton
110P05461,AUGUSTA,Staunton
110P05463,BRISTOL (CITY),Bristol
110P05464,BRISTOL (CITY),Bristol
110P05465,BRISTOL (CITY),Bristol
110P05466,BRISTOL (CITY),Bristol
110P05467,WASHINGTON,Bristol
110P05468,WASHINGTON,Bristol
110P05469,WASHINGTON,Bristol
110P05470,WASHINGTON,Bristol
110P05471,WASHINGTON,Bristol
110P05472,WASHINGTON,Bristol
110P05473,WASHINGTON,Bristol
110P05474,WASHINGTON,Bristol
110P05475,WASHINGTON,Bristol
110P05476,WASHINGTON,Bristol
110P05477,SMYTH,Bristol
110P05478,SMYTH,Bristol
110P05479,SMYTH,Bristol
110P05480,SMYTH,Bristol
110P05481,SMYTH,Bristol
110P05482,SMYTH,Bristol
110P05483,SMYTH,Bristol
110P05484,SMYTH,Bristol
110P05485,WYTHE,Bristol
110P05486,WYTHE,Bristol
110P05487,WYTHE,Bristol
110P05488,WYTHE,Bristol
110P05490,WYTHE,Bristol
110P05491,WYTHE,Bristol
110P05492,WYTHE,Bristol
110P05495,ROCKBRIDGE,Staunton
110P05496,ROCKBRIDGE,Staunton
110P05497,ROCKBRIDGE,Staunton
110P05498,AUGUSTA,Staunton
110P05499,AUGUSTA,Staunton
110P05500,AUGUSTA,Staunton
110P05503,WARREN,Staunton
110P05504,WARREN,Staunton
110P05506,WYTHE,Bristol
110P05507,WYTHE,Bristol
110P05508,BLAND,Bristol
110P05509,BLAND,Bristol
110P05510,BLAND,Bristol
110P05511,BLAND,Bristol
110P05512,BLAND,Bristol
110P05513,BLAND,Bristol
110P05514,BLAND,Bristol
110P05517,CARROLL,Salem
110P05518,CARROLL,Salem
110P05519,CARROLL,Salem
110P05520,CARROLL,Salem
110P05521,WYTHE,Bristol
110P05522,WYTHE,Bristol
110P05529,ALLEGHANY,Staunton
110P05530,ALLEGHANY,Staunton
110P05531,ALLEGHANY,Staunton
110P05532,COVINGTON (CITY),Staunton
110P05533,ALLEGHANY,Staunton
110P05534,ALLEGHANY,Staunton
110P05535,ALLEGHANY,Staunton
110P05536,ALLEGHANY,Staunton
110P05537,ALLEGHANY,Staunton
110P05538,ALLEGHANY,Staunton
110P05539,ROCKBRIDGE,Staunton
110P05540,ROCKBRIDGE,Staunton
110P05541,ROCKBRIDGE,Staunton
110P05542,ROCKBRIDGE,Staunton
110P10918,HANOVER,Richmond
110P10919,HANOVER,Richmond
110P10920,HANOVER,Richmond
110P10921,HANOVER,Richmond
110P15859,HENRICO,Richmond
110P16029,HOPEWELL (CITY),Richmond
110P16072,NORFOLK (CITY),Hampton Roads
