TMC,AREATYPE
110+04847,Urbanized
110P04847,Urbanized
110+04848,Urbanized
110P04848,Urbanized
110+04849,Urbanized
110P04849,Urbanized
110+04850,Urbanized
110P04850,Urbanized
110+04851,Urbanized
110P04851,Urbanized
110+04852,Urbanized
110P04852,Urbanized
110N04852,Urbanized
110-04851,Urbanized
110N04851,Urbanized
110-04850,Urbanized
110N04850,Urbanized
110-04849,Urbanized
110N04849,Urbanized
110-04848,Urbanized
110N04848,Urbanized
110-04847,Urbanized
110-04846,Urbanized
110N04847,Urbanized
110+04686,Urbanized
110P04686,Urbanized
110+04687,Urbanized
110P04687,Urbanized
110+04688,Urbanized
110P04688,Urbanized
110+04689,Urbanized
110P04689,Urbanized
110+04690,Urbanized
110+04691,Urbanized
110P04691,Urbanized
110+04692,Urbanized
110P04692,Urbanized
110+04693,Urbanized
110P04693,Urbanized
110+04694,Urbanized
110P04694,Urbanized
110+04695,Urbanized
110+04696,Urbanized
110P04696,Urbanized
110+04697,Urbanized
110P04697,Urbanized
110+04698,Urbanized
110P04698,Urbanized
110+04699,Urbanized
110P04699,Urbanized
110+04700,Urbanized
110P04700,Urbanized
110+04701,Urbanized
110P04701,Urbanized
110+04702,Urbanized
110P04702,Urbanized
110+04703,Urbanized
110P04703,Urbanized
110+04704,Urbanized
110P04704,Urbanized
110+04705,Urbanized
110P04705,Urbanized
110+04706,Urbanized
110P04706,Urbanized
110+04707,Urbanized
110P04707,Urbanized
110+04708,Urbanized
110P04708,Urbanized
110+04709,Urbanized
110P04709,Urbanized
110+04710,Urbanized
110P04710,Urbanized
110+04711,Urbanized
110N04710,Urbanized
110-04709,Urbanized
110N04709,Urbanized
110-04708,Urbanized
110N04708,Urbanized
110-04707,Urbanized
110N04707,Urbanized
110-04706,Urbanized
110N04706,Urbanized
110-04705,Urbanized
110N04705,Urbanized
110-04704,Urbanized
110N04704,Urbanized
110-04703,Urbanized
110N04703,Urbanized
110-04702,Urbanized
110N04702,Urbanized
110-04701,Urbanized
110N04701,Urbanized
110-04700,Urbanized
110N04700,Urbanized
110-04699,Urbanized
110N04699,Urbanized
110-04698,Urbanized
110N04698,Urbanized
110-04697,Urbanized
110-04694,Urbanized
110N04694,Urbanized
110-04693,Urbanized
110N04693,Urbanized
110-04692,Urbanized
110N04692,Urbanized
110-04691,Urbanized
110N04691,Urbanized
110-04690,Urbanized
110-04689,Urbanized
110N04689,Urbanized
110-04688,Urbanized
110N04688,Urbanized
110-04687,Urbanized
110N04687,Urbanized
110-04686,Urbanized
110N04686,Urbanized
110-04685,Urbanized
110+04770,Rural
110P04770,Rural
110+04771,Rural
110P04771,Urbanized
110+16029,Rural
110P16029,Urbanized
110+04772,Urbanized
110P04772,Urbanized
110+04773,Rural
110P04773,Rural
110+15859,Rural
110P15859,Rural
110+04774,Rural
110P04774,Rural
110+04775,Rural
110P04775,Rural
110+04776,Rural
110P04776,Rural
110+04777,Rural
110+10918,Rural
110P10918,Rural
110+10919,Urbanized
110P10919,Urbanized
110+10920,Urbanized
110P10920,Urbanized
110+10921,Urbanized
110P10921,Urbanized
110+04953,Urbanized
110+04955,Urbanized
110P04954,Urbanized
110P04955,Urbanized
110+04956,Urbanized
110P04956,Urbanized
110+04957,Urbanized
110P04957,Rural
110+04958,Rural
110P04958,Rural
110+04959,Urbanized
110-04958,Urbanized
110N04958,Rural
110-04957,Rural
110N04957,Urbanized
110-04956,Urbanized
110N04956,Urbanized
110-04955,Urbanized
110N04955,Urbanized
110-04954,Urbanized
110-04953,Urbanized
110N04954,Urbanized
110-10921,Urbanized
110N10921,Urbanized
110-10920,Urbanized
110N10920,Urbanized
110-10919,Urbanized
110N10919,Urbanized
110-10918,Rural
110N10918,Rural
110-04777,Rural
110-04776,Rural
110N04776,Rural
110-04775,Rural
110N04775,Rural
110-04774,Rural
110N04774,Rural
110-15859,Rural
110N15859,Rural
110-04773,Rural
110N04773,Rural
110-04772,Rural
110N04772,Urbanized
110-16029,Urbanized
110N16029,Urbanized
110-04771,Rural
110N04771,Urbanized
110-04770,Rural
110N04770,Rural
110-04769,Rural
110+09220,Urbanized
110-09219,Urbanized
110+04121,Urbanized
110P04121,Urbanized
110+04122,Urbanized
110P04122,Urbanized
110+04123,Urbanized
110P04123,Urbanized
110+04124,Urbanized
110P04124,Urbanized
110+04125,Urbanized
110P04125,Urbanized
110+04126,Urbanized
110P04126,Urbanized
110+04127,Urbanized
110P04127,Urbanized
110+04670,Urbanized
110P04670,Urbanized
110+04128,Urbanized
110P04128,Urbanized
110+04129,Urbanized
110P04129,Urbanized
110+04130,Urbanized
110P04130,Urbanized
110N04129,Urbanized
110-04128,Urbanized
110N04128,Urbanized
110-04670,Urbanized
110N04670,Urbanized
110-04127,Urbanized
110N04127,Urbanized
110-04126,Urbanized
110N04126,Urbanized
110-04125,Urbanized
110N04125,Urbanized
110-04124,Urbanized
110N04124,Urbanized
110-04123,Urbanized
110N04123,Urbanized
110-04122,Urbanized
110N04122,Urbanized
110-04121,Urbanized
110N04121,Urbanized
110-04120,Urbanized
110P04910,Urbanized
110+04911,Urbanized
110P04911,Urbanized
110+04912,Urbanized
110P04912,Urbanized
110+04913,Urbanized
110P04913,Urbanized
110+04914,Urbanized
110P04914,Urbanized
110+04915,Urbanized
110P04915,Urbanized
110N04915,Urbanized
110-04914,Urbanized
110N04914,Urbanized
110-04913,Urbanized
110N04913,Urbanized
110-04912,Urbanized
110N04912,Urbanized
110-04911,Urbanized
110N04911,Urbanized
110-04910,Urbanized
110N04910,Urbanized
110-04613,Urbanized
110N04613,Urbanized
110-04612,Urbanized
110N04612,Urbanized
110-04611,Urbanized
110N04611,Urbanized
110-04610,Urbanized
110N04610,Urbanized
110-04609,Urbanized
110N04609,Urbanized
110-04608,Urbanized
110N04608,Urbanized
110-04607,Urbanized
110N04607,Urbanized
110-04606,Urbanized
110N04606,Urbanized
110-04605,Urbanized
110N04605,Urbanized
110-04604,Urbanized
110N04604,Urbanized
110-04603,Urbanized
110N04603,Urbanized
110-04648,Urbanized
110N04648,Urbanized
110-04647,Urbanized
110N04647,Urbanized
110-04646,Urbanized
110N04646,Urbanized
110-04645,Urbanized
110N04645,Urbanized
110-04644,Urbanized
110+04645,Urbanized
110P04645,Urbanized
110+04646,Urbanized
110P04646,Urbanized
110+04647,Urbanized
110P04647,Urbanized
110+04648,Urbanized
110P04648,Urbanized
110+04603,Urbanized
110P04603,Urbanized
110+04604,Urbanized
110P04604,Urbanized
110+04605,Urbanized
110P04605,Urbanized
110+04606,Urbanized
110P04606,Urbanized
110+04607,Urbanized
110P04607,Urbanized
110+04608,Urbanized
110P04608,Urbanized
110+04609,Urbanized
110P04609,Urbanized
110+04610,Urbanized
110P04610,Urbanized
110+04611,Urbanized
110P04611,Urbanized
110+04612,Urbanized
110P04612,Urbanized
110+04613,Urbanized
110P04613,Urbanized
110+04614,Urbanized
110-04824,Urbanized
110N04824,Urbanized
110-04823,Urbanized
110N04823,Urbanized
110-04822,Urbanized
110+04823,Urbanized
110P04823,Urbanized
110+04824,Urbanized
110P04824,Urbanized
110+04825,Urbanized
110P05017,Urbanized
110+05018,Urbanized
110P05018,Urbanized
110+05019,Urbanized
110P05019,Urbanized
110+05020,Urbanized
110P05020,Urbanized
110+05021,Urbanized
110P05021,Urbanized
110+05022,Urbanized
110P05022,Urbanized
110+05023,Urbanized
110-05022,Urbanized
110N05022,Urbanized
110-05021,Urbanized
110N05021,Urbanized
110-05020,Urbanized
110N05020,Urbanized
110-05019,Urbanized
110N05019,Urbanized
110-05018,Urbanized
110N05018,Urbanized
110-05017,Urbanized
110N05017,Urbanized
110+05529,Rural
110P05529,Rural
110+05530,Rural
110P05530,Rural
110+05531,Rural
110P05531,Rural
110+05532,Rural
110P05532,Urban Cluster
110+05533,Urban Cluster
110P05533,Urban Cluster
110+05534,Rural
110P05534,Rural
110+05535,Rural
110P05535,Rural
110+05536,Rural
110P05536,Urban Cluster
110+05537,Rural
110P05537,Rural
110+05538,Rural
110P05538,Rural
110+05539,Rural
110P05539,Rural
110+05540,Rural
110P05540,Rural
110+05541,Rural
110P05541,Urban Cluster
110+05542,Urban Cluster
110P05542,Urban Cluster
110N05461,Rural
110-05460,Rural
110N05460,Rural
110-05459,Rural
110N05459,Urbanized
110-05458,Rural
110N05458,Rural
110-05457,Rural
110N05457,Rural
110-05456,Rural
110N05456,Rural
110-05455,Rural
110N05455,Rural
110-05454,Rural
110N05454,Rural
110-05453,Rural
110N05453,Urbanized
110-05452,Urbanized
110N05452,Urbanized
110-05451,Rural
110N05451,Rural
110-05450,Rural
110N05450,Rural
110-05449,Rural
110N05449,Rural
110-05448,Rural
110N05448,Rural
110-05447,Rural
110N05447,Rural
110-05446,Rural
110N05446,Rural
110-05445,Rural
110N05445,Rural
110-05444,Rural
110N05444,Rural
110-05443,Rural
110N05443,Rural
110-05442,Rural
110-04951,Rural
110N04951,Urbanized
110-04950,Urbanized
110N04950,Urbanized
110-04949,Urbanized
110N04949,Urbanized
110-04948,Urbanized
110N04948,Urbanized
110-04947,Urbanized
110N04947,Urbanized
110-04946,Urbanized
110N04946,Urbanized
110-04945,Urbanized
110N04945,Urbanized
110-04944,Urbanized
110N04944,Urbanized
110-04943,Urbanized
110-04907,Urbanized
110N04907,Urbanized
110-04906,Urbanized
110N04906,Urbanized
110-04905,Urbanized
110N04905,Urbanized
110-04904,Urbanized
110N04904,Urbanized
110-04903,Urbanized
110N04903,Rural
110-04902,Rural
110N04902,Rural
110-04901,Rural
110N04901,Rural
110-04900,Rural
110N04900,Rural
110-04899,Rural
110N04899,Rural
110-04898,Rural
110N04898,Rural
110-04897,Rural
110N04897,Rural
110-04896,Rural
110N04896,Rural
110-04895,Rural
110N04895,Rural
110-04894,Rural
110N04894,Rural
110-04893,Rural
110N04893,Rural
110-04892,Rural
110N04892,Rural
110-04891,Urbanized
110N04891,Urbanized
110-04890,Urbanized
110N04890,Urbanized
110-04889,Urbanized
110N04889,Urbanized
110-04888,Urbanized
110N04888,Urbanized
110-04887,Urbanized
110N04887,Urbanized
110-04886,Urbanized
110N04886,Urbanized
110-04885,Urbanized
110N04885,Urbanized
110-04884,Urbanized
110N04884,Urbanized
110-04883,Urbanized
110N04883,Urbanized
110-04882,Urbanized
110-04881,Urbanized
110N04881,Urbanized
110-04880,Urbanized
110N04880,Urbanized
110-04879,Urbanized
110N04879,Urbanized
110-04878,Urbanized
110N04878,Urbanized
110-04877,Urbanized
110N04877,Urbanized
110-04876,Urbanized
110N04876,Urbanized
110-04875,Rural
110N04875,Rural
110-04874,Urbanized
110N04874,Urbanized
110-04873,Urbanized
110N04873,Urbanized
110-04872,Urbanized
110N04872,Urbanized
110-04871,Urbanized
110N04871,Urbanized
110-04870,Urbanized
110N04870,Urbanized
110-04869,Urbanized
110N04869,Urbanized
110-04868,Urbanized
110N04868,Urbanized
110-04867,Urbanized
110N04867,Urbanized
110-04866,Urbanized
110N04866,Urbanized
110-04865,Urbanized
110N04865,Urbanized
110-04864,Urbanized
110N04864,Urbanized
110-04863,Urbanized
110N04863,Urbanized
110-16072,Urbanized
110N16072,Urbanized
110-04862,Urbanized
110N04862,Urbanized
110-04861,Urbanized
110N04861,Urbanized
110-04860,Urbanized
110N04860,Urbanized
110-04859,Urbanized
110N04859,Urbanized
110-04858,Urbanized
110N04858,Urbanized
110N04856,Urbanized
110-04855,Urbanized
110N04855,Urbanized
110-04854,Urbanized
110+04855,Urbanized
110P04855,Urbanized
110+04856,Urbanized
110P04856,Urbanized
110+04857,Urbanized
110P04857,Urbanized
110+04858,Urbanized
110P04858,Urbanized
110+04859,Urbanized
110P04859,Urbanized
110+04860,Urbanized
110P04860,Urbanized
110+04861,Urbanized
110P04861,Urbanized
110+04862,Urbanized
110P04862,Urbanized
110+16072,Urbanized
110P16072,Urbanized
110+04863,Urbanized
110P04863,Urbanized
110+04864,Urbanized
110+04865,Urbanized
110P04865,Urbanized
110+04866,Urbanized
110P04866,Urbanized
110+04867,Urbanized
110P04867,Urbanized
110+04868,Urbanized
110P04868,Urbanized
110+04869,Urbanized
110P04869,Urbanized
110+04870,Urbanized
110P04870,Urbanized
110+04871,Urbanized
110P04871,Urbanized
110+04872,Urbanized
110P04872,Urbanized
110+04873,Urbanized
110P04873,Urbanized
110+04874,Urbanized
110P04874,Urbanized
110+04875,Urbanized
110P04875,Rural
110+04876,Rural
110P04876,Urbanized
110+04877,Urbanized
110P04877,Urbanized
110+04878,Urbanized
110P04878,Urbanized
110+04879,Urbanized
110P04879,Urbanized
110+04880,Urbanized
110P04880,Urbanized
110+04881,Urbanized
110P04881,Urbanized
110+04882,Urbanized
110P04882,Urbanized
110+04883,Urbanized
110P04883,Urbanized
110+04884,Urbanized
110P04884,Urbanized
110+04885,Urbanized
110P04885,Urbanized
110+04886,Urbanized
110P04886,Urbanized
110+04887,Urbanized
110P04887,Urbanized
110+04888,Urbanized
110P04888,Urbanized
110+04889,Urbanized
110P04889,Urbanized
110+04890,Urbanized
110P04890,Urbanized
110+04891,Rural
110P04891,Urbanized
110+04892,Urbanized
110P04892,Urbanized
110+04893,Rural
110P04893,Rural
110+04894,Rural
110P04894,Rural
110+04895,Rural
110P04895,Rural
110+04896,Rural
110P04896,Rural
110+04897,Rural
110P04897,Rural
110+04898,Rural
110P04898,Rural
110+04899,Rural
110P04899,Rural
110+04900,Rural
110P04900,Rural
110+04901,Rural
110P04901,Rural
110+04902,Rural
110P04902,Rural
110+04903,Rural
110P04903,Rural
110+04904,Urbanized
110P04904,Urbanized
110+04905,Urbanized
110P04905,Urbanized
110+04906,Urbanized
110P04906,Urbanized
110+04907,Urbanized
110P04907,Urbanized
110+04908,Urbanized
110P04908,Urbanized
110+04944,Urbanized
110P04944,Urbanized
110+04945,Urbanized
110P04945,Urbanized
110+04946,Urbanized
110P04946,Urbanized
110+04947,Urbanized
110P04947,Urbanized
110+04948,Urbanized
110P04948,Urbanized
110+04949,Urbanized
110P04949,Urbanized
110+04950,Urbanized
110P04950,Urbanized
110+04951,Urbanized
110P04951,Urbanized
110+04952,Rural
110+05443,Rural
110P05443,Rural
110+05444,Rural
110P05444,Rural
110+05445,Rural
110P05445,Rural
110+05446,Rural
110P05446,Rural
110+05447,Rural
110P05447,Rural
110+05448,Rural
110P05448,Rural
110+05449,Rural
110P05449,Rural
110+05450,Rural
110P05450,Rural
110+05451,Rural
110P05451,Rural
110+05452,Rural
110P05452,Urbanized
110+05453,Urbanized
110P05453,Urbanized
110+05454,Rural
110P05454,Rural
110+05455,Rural
110P05455,Rural
110+05456,Rural
110P05456,Rural
110+05457,Rural
110P05457,Rural
110+05458,Rural
110P05458,Rural
110+05459,Rural
110P05459,Rural
110+05460,Rural
110P05460,Rural
110+05461,Rural
110P05461,Rural
110-05541,Rural
110N05541,Urban Cluster
110-05540,Rural
110N05540,Rural
110-05539,Rural
110N05539,Rural
110-05538,Rural
110N05538,Rural
110-05537,Rural
110N05537,Rural
110-05536,Rural
110N05536,Rural
110-05535,Rural
110N05535,Rural
110-05534,Rural
110N05534,Rural
110-05533,Rural
110N05533,Rural
110-05532,Urban Cluster
110N05532,Urban Cluster
110-05531,Rural
110N05531,Rural
110-05530,Rural
110N05530,Rural
110-05529,Rural
110N05529,Rural
110-05528,Rural
110+05495,Rural
110P05495,Rural
110+05496,Rural
110P05496,Rural
110+05497,Rural
110P05497,Rural
110+05498,Rural
110P05498,Rural
110+05499,Rural
110P05499,Rural
110+05500,Rural
110P05500,Rural
110+05501,Rural
110-05500,Rural
110N05500,Rural
110-05499,Rural
110N05499,Rural
110-05498,Rural
110N05498,Rural
110-05497,Rural
110N05497,Rural
110-05496,Rural
110N05496,Rural
110-05495,Rural
110N05495,Rural
110-05494,Rural
110P04791,Urbanized
110+04792,Urbanized
110P04792,Urbanized
110+04793,Urbanized
110P04793,Urbanized
110+04794,Urbanized
110P04794,Urbanized
110+04795,Urbanized
110P04795,Urbanized
110+04796,Urbanized
110-04795,Urbanized
110N04795,Urbanized
110-04794,Urbanized
110N04794,Urbanized
110-04793,Urbanized
110N04793,Urbanized
110-04792,Urbanized
110N04792,Urbanized
110-04791,Urbanized
110N04791,Urbanized
110-05504,Rural
110N05504,Rural
110-05503,Rural
110N05503,Rural
110-05502,Rural
110-04193,Rural
110N04193,Rural
110-04192,Rural
110N04192,Rural
110-04191,Rural
110N04191,Rural
110-04190,Rural
110N04190,Rural
110-04189,Rural
110N04189,Rural
110-04188,Rural
110N04188,Rural
110-04187,Rural
110N04187,Rural
110-04186,Urbanized
110N04186,Rural
110-04185,Rural
110N04185,Urbanized
110-04184,Urbanized
110N04184,Urbanized
110-04183,Urbanized
110N04183,Urbanized
110-04182,Urbanized
110N04182,Urbanized
110-04181,Urbanized
110N04181,Urbanized
110-04180,Urbanized
110N04180,Urbanized
110-04179,Urbanized
110N04179,Urbanized
110-04178,Urbanized
110N04178,Urbanized
110-04177,Urbanized
110-04176,Urbanized
110N04177,Urbanized
110N04176,Urbanized
110-04175,Urbanized
110N04175,Urbanized
110-04174,Urbanized
110N04174,Urbanized
110-04173,Urbanized
110N04173,Urbanized
110-04172,Urbanized
